Region;2009;2010;2011;2012;2013
Total;129 555 390 ;141 395 973 ;139 199 271 ;142 653 830 ;137 923 859
ALSACE;3 108 381 ;3 275 749 ;3 308 157 ;3 549 333 ;3 388 965
AQUITAINE;7 076 096 ;7 601 832 ;7 685 702 ;7 734 823 ;7 509 183
AUVERGNE;2 786 165 ;2 953 712 ;2 919 567 ;2 965 569 ;2 920 408 
BASSE-NORMANDIE;2 355 614 ;2 540 213 ;2 644 377 ;2 727 884 ;2 636 128
BOURGOGNE;3 312 221 ;3 535 260 ;3 603 066 ;3 500 379 ;3 351 403
BRETAGNE;5 901 481 ;6 361 063 ;6 109 682 ;6 358 728 ;6 180 618
CENTRE;4 681 303 ;5 024 003 ;4 960 611 ;5 134 399 ;5 146 056
CHAMPAGNE-ARDENNE;2 460 107 ;2 454 392 ;2 417 319 ;2 375 691 ;2 199 890
FRANCHE-COMT;2 253 792 ;2 816 401 ;3 124 403 ;3 356 993 ;3 254 908
HAUTE-NORMANDIE;2 884 980 ;2 960 925 ;3 080 784 ;3 252 288 ;2 988 828
ILE-DE-FRANCE;29 075 597 ;31 804 841 ;29 730 837 ;30 190 710 ;29 278 771
LANGUEDOC-ROUSSILLON;5 704 516 ;5 813 418 ;5 511 679 ;6 483 234 ;6 478 178
LIMOUSIN;1 447 627 ;1 599 172 ;1 562 635 ;1 609 376 ;1 512 800
LORRAINE;3 712 569 ;5 969 475 ;6 809 139 ;5 754 146 ;5 288 614
MIDI-PYRNES;5 484 888 ;5 991 292 ;5 907 548 ;6 023 850 ;5 768 582
NORD-PAS-DE-CALAIS;7 560 415 ;8 107 898 ;8 221 910 ;8 685 022 ;8 391 917
PAYS DE LA LOIRE;6 130 685 ;6 606 599 ;6 558 521 ;6 816 036 ;6 629 837
PICARDIE;3 011 975 ;3 108 865 ;2 973 587 ;3 071 153 ;3 028 882
POITOU-CHARENTES;3 590 117 ;3 745 002 ;3 692 661 ;3 768 140 ;3 724 005
PROVENCE-ALPES-CTE D'AZUR;14 462 461 ;15 530 921 ;14 826 910 ;15 051 583 ;13 845 786
RHNE-ALPES;12 554 401 ;13 594 939 ;13 550 175 ;14 244 492 ;14 400 099
